place_id,place_name,type_1,type_2,type_3,price_level,average_rating,user_ratings_total,formatted_address,latitude,longitude,geohash,upper_geohash,distance,duration
ChIJmWmPnx7e4EcRAF_A3Rhoslw,Hôtel Armada,accommodation,lodging,,,4.0,11.0,"112 Av. Jean Jaurès, 76140 Le Petit-Quevilly, France",49.4267538,1.0620687,u0bc0j,u0bc0,3.1 km,40 mins
ChIJcczvNa3f4EcRjZ6lY-qx2DU,Les Pâtisseries de Gill,shopping,store,['bakery'],,4.3,34.0,"178 Rue Martainville, 76000 Rouen, France",49.43993,1.0997501,u0bc30,u0bc3,0.4 km,5 mins
ChIJWfmLQnje4EcRDMB1P2dhZJ8,Le Petit Train De Rouen,cultural,tourist_attraction,,,3.7,42.0,"25 Pl. de la Cathédrale, 76000 Rouen, France",49.4407743,1.0941337,u0bc2b,u0bc2,0.2 km,2 mins
ChIJseIX8nPe4EcRGHnYv3iAnDU,O'chicken Rice,food,restaurant,,,3.6,27.0,"38 Bd d'Orléans, 76100 Rouen, France",49.4358858,1.0849371,u0bc0x,u0bc0,1.2 km,15 mins
ChIJ37BEZxHd4EcRwZ0lZRDD1Zo,Sushi Fresh Rouen,food,restaurant,"['meal_delivery', 'meal_takeaway']",,4.6,103.0,"66 Rue de la Vicomte, 76000 Rouen, France",49.4416138,1.0892606,u0bc2b,u0bc2,0.5 km,6 mins
ChIJHe71lx3e4EcR7AmgffinBRw,Parc Paul Gauguin,nature,park,,,3.5,10.0,"All. Paul Gauguin, 76140 Le Petit-Quevilly, France",49.4284173,1.0591881,u0bc0n,u0bc0,3.3 km,43 mins
ChIJsTsNitXd4EcR71rvSUsfTtg,Les Cousines,shopping,store,['bakery'],,4.6,24.0,"16 Pl. du Lieutenant Aubert, 76000 Rouen, France",49.4413938,1.0990855,u0bc30,u0bc3,0.5 km,6 mins
ChIJU1iM2_Xf4EcR4HSCKUK596c,DE LA CAVE AU GRENIER,night_life,bar,"['liquor_store', 'store']",,4.9,23.0,"49 Rue aux Ours, 76000 Rouen, France",49.4406553,1.0911679,u0bc2b,u0bc2,0.3 km,4 mins
ChIJIdELNSvc4EcRHSOrkI_eClc,"La Boulangerie, chambre d'hôtes et B&B",accommodation,lodging,,2.0,4.9,60.0,"59 Rue Saint-Nicaise, 76000 Rouen, France",49.4451163,1.1032711,u0bc31,u0bc3,1.2 km,16 mins
ChIJt5NhDjbc4EcRcm1wFd5xHwc,Maison Du Menuisier 76 - Parqu&Fenêtre - Maison du Menuisier,shopping,store,,,4.3,19.0,"2079 Rte de Neufchâtel, 76230 Bois-Guillaume, France",49.4609107,1.1097211,u0bc3k,u0bc3,2.7 km,41 mins
ChIJGdUsAXje4EcRgdYbOm0xAiE,Darjeeling Rouen,shopping,store,['clothing_store'],,4.1,39.0,"50 Rue du Gros Horloge, 76000 Rouen, France",49.4413026,1.0922986,u0bc2b,u0bc2,0.3 km,4 mins
ChIJr9MBoELn4EcRbA9hwzyOAfg,Bijoux étoile du menhir,shopping,store,['jewelry_store'],,5.0,1.0,"Quai Emile Duchemin, 76000 Rouen, France",49.4442675,1.0582584,u0bc21,u0bc2,2.9 km,36 mins
