user_id,gender,username,origin,age,country,geolife,income,length_of_trip,social_state,agreeableness
a667b223-ad6e-4336-afa7-ee4cfa47cbdf,Female,annachambers,Normandie,28,France,growing peri-urban,Average,long-term,Alone,0.4
521316b8-9c18-4a61-9089-937e57c1c5df,Female,christinabenitez,Other regions,48,France,dynamic rural,Low,long-term,Family,0.9
2ea6d95d-3523-4d04-98a3-8429fdc21b59,Male,ryanknight,Normandie,50,France,urban middle class,High,short-term,Alone,0.2
eed1ea99-25ce-4141-ab4d-64b1ca46a8f2,Female,marissatravis,Normandie,54,France,dynamic urban,High,short-term,Alone,0.30000000000000004
fdae048b-a5dd-4fd9-8439-8c33baf29807,Male,kevinbooker,Foreigner,61,Western Europe,affluent family urban,High,short-term,Alone,0.6000000000000001
0db96118-5799-494b-9a37-43258f049135,Female,andreathompson,Normandie,17,France,disadvantaged urban,Low,short-term,Couple,0.9
57df876a-c1a5-47cf-8320-339425aa10fe,Male,chadpalmer,Normandie,79,France,affluent family urban,High,short-term,Couple,0.30000000000000004
8f025960-7d76-44c1-8962-52cd1705c6ed,Male,richardjohnson,Normandie,29,France,affluent family urban,High,short-term,Alone,0.4
9ef4663d-4625-4351-bb7b-9bfea09cd9c6,Male,thomaspeterson,Normandie,62,France,dynamic rural,Average,long-term,Couple,0.9
c4601bcb-863c-4c28-8d1d-71ff3a666d85,Male,craigcobb,Normandie,17,France,wealthy family suburbanite,High,short-term,Family,0.5
6c5f2deb-956a-486a-b422-dfa03f69f8c0,Female,sheliagomez,Other regions,46,France,affluent family urban,High,short-term,Alone,0.2
3534c295-cc70-4be8-bcf0-f28d47b51245,Female,anneking,Normandie,76,France,urban middle class,Average,long-term,Couple,0.5
d25b62bb-c446-4e56-abda-036481762322,Male,garywilson,Foreigner,16,Western Europe,urban middle class,Average,short-term,Alone,0.5
80e02b32-e444-4d1b-bba2-f20777f922a7,Female,laurengreen,Normandie,27,France,affluent family urban,High,short-term,Family,0.30000000000000004
ea01a652-c1e7-4c81-b1c5-0d3cce66559a,Female,lorihale,Normandie,74,France,popularity,Low,short-term,Family,0.30000000000000004
971580d5-9754-454d-9487-f64980349402,Female,leslierussell,Other regions,26,France,dynamic rural,Average,short-term,Couple,0.7000000000000001
8b234e00-2c4d-43a4-8614-f83e91aee53d,Male,williamcrawford,Normandie,57,France,dynamic urban,High,short-term,Alone,0.8
4e8c5647-c7b0-4778-ac08-bf3769f347dd,Male,luisvelazquez,Normandie,36,France,wealthy family suburbanite,Average,short-term,Family,0.4
9329b2f6-d821-446c-9c4d-abef76994bc9,Male,kevinmejia,Normandie,51,France,popularity,Low,long-term,Family,0.8
c1752c6c-92b7-4dca-b4a9-7b2c3252fa25,Male,bruceschaefer,Foreigner,68,Western Europe,popularity,Low,long-term,Family,0.4
42d38b1b-19e1-4096-9e66-c4e04ba65d4e,Male,matthewbridges,Other regions,22,France,growing peri-urban,Average,long-term,Family,0.30000000000000004
022a0a01-caa3-453f-becb-e48365139f5d,Male,scottking,Other regions,57,France,disadvantaged urban,Low,short-term,Couple,0.5
b494c2d3-0b7f-4435-a9e7-11a7b8b59b0d,Male,zacharydavidson,Normandie,43,France,dynamic urban,High,long-term,Alone,0.1
b449c666-743b-45c7-b554-523fc65a9d82,Male,brianwilliams,Normandie,38,France,popularity,Low,short-term,Family,0.7000000000000001
e34eb24f-b728-4164-8975-cca9009c0bde,Male,patricklopez,Foreigner,21,Germany,traditional rural,Low,short-term,Alone,0.4
7ae848ce-4ca9-43e7-899d-5dcc0a0974ca,Female,kristincarpenter,Other regions,51,France,dynamic rural,Average,short-term,Alone,0.9
5ad92a36-fbb9-4869-ac9c-1354736675c0,Male,davidharrison,Normandie,60,France,wealthy family suburbanite,High,short-term,Couple,0.4
43d05bb2-b9df-4ab2-8d0c-a8563a855528,Female,christinacabrera,Normandie,44,France,dynamic urban,High,short-term,Family,0.8
97a81bd1-f3b4-4dd0-a74f-53dea2fce47c,Male,davidmcbride,Foreigner,57,Western Europe,wealthy family suburbanite,High,short-term,Family,0.6000000000000001
c7963f80-c647-4ad3-b2c2-416a98668683,Male,josephmiller,Foreigner,27,Western Europe,popularity,Low,short-term,Couple,0.8
0541ddb8-510b-4743-b871-d141d46a36c1,Female,stephanieking,Other regions,49,France,traditional rural,Low,short-term,Couple,0.9
eb48fa63-3397-4984-9e30-9abf47922031,Female,ginaleon,Foreigner,47,Belgium,urban middle class,Average,long-term,Family,0.1
cc6f001c-47c9-4bb1-8e9b-58165cc87137,Female,danachapman,Normandie,77,France,wealthy family suburbanite,High,short-term,Family,0.9
4256fd12-2e10-4dcd-becd-550631a3bf1c,Female,tanyaclark,Other regions,26,France,urban middle class,Average,short-term,Family,0.6000000000000001
b454f919-f75e-4395-a501-eb90e3e0af27,Male,aaronbailey,Normandie,39,France,dynamic rural,Average,short-term,Couple,0.2
3369f087-a32e-4729-bd2a-516ded8ee847,Male,chadcross,Normandie,15,France,affluent family urban,High,short-term,Couple,0.30000000000000004
490b92ad-d1b9-4988-bf5a-48bc7f8722bf,Female,emmawatson,Foreigner,14,USA,affluent family urban,High,short-term,Couple,0.8
92e08446-0027-43c3-8040-48626fb9c13f,Male,dustinortega,Foreigner,15,Western Europe,traditional rural,Low,short-term,Couple,0.7000000000000001
73d27f8d-3f18-483e-af72-23b3ce1b118b,Female,jennifercallahan,Normandie,41,France,popularity,Low,long-term,Alone,0.1
f0cd9e3f-45c6-4d0e-a4a6-62ed412da151,Male,markwoods,Foreigner,76,Western Europe,dynamic urban,Average,short-term,Couple,0.5
b77c0e11-c826-4fb1-9830-6b0870d9cda3,Female,barbarajackson,Normandie,26,France,dynamic urban,High,short-term,Couple,0.7000000000000001
def0f7c1-5d5e-446b-83d6-871e7b1b22d5,Female,sharongaines,Other regions,69,France,growing peri-urban,Average,short-term,Couple,0.5
0fa35e6a-6b4b-412c-a019-7eb4ed2f0303,Female,brookejones,Foreigner,46,Western Europe,wealthy family suburbanite,High,short-term,Alone,0.9
a5befa0a-2cac-40a1-97af-3380596411ed,Male,jeremyhubbard,Other regions,23,France,popularity,Low,long-term,Couple,0.5
0929e96d-6cf9-4377-805d-810870f9f7bc,Male,jacobosborne,Normandie,78,France,urban middle class,Average,short-term,Couple,0.30000000000000004
fe80794e-cc53-4f4d-8aac-1c78e817f2e9,Female,saramooney,Normandie,23,France,disadvantaged urban,Low,short-term,Family,0.30000000000000004
0b04329a-0da3-4401-9bad-c0cf4ac603dc,Female,jessicajohnson,Normandie,35,France,wealthy family suburbanite,High,short-term,Family,0.6000000000000001
c537771a-9c25-4633-9181-b2c192bb21a6,Male,anthonyhernandez,Other regions,18,France,traditional rural,Low,long-term,Family,0.30000000000000004
4afea56d-b7c5-4396-8276-6a1741978f35,Female,mariajenkins,Normandie,23,France,wealthy family suburbanite,High,short-term,Group,0.7000000000000001
a0a9e15c-1a62-44e0-b5f3-6d75ac7870bf,Female,jenniferarroyo,Other regions,16,France,traditional rural,High,long-term,Couple,0.5
8968195c-b676-472a-8565-2cd8aaea8792,Female,kimrivera,Foreigner,62,Germany,urban middle class,Average,short-term,Couple,0.2
fcf9c9f0-28cd-4c51-8e3d-adfa985c81cb,Male,christopherpowell,Other regions,62,France,traditional rural,Low,short-term,Alone,0.9
b0f2d423-e4e5-4a61-8b23-eee102027f65,Male,alanfowler,Other regions,21,France,dynamic urban,High,short-term,Family,0.5
329c76fb-130a-4388-89c5-060e186d9f20,Female,mrs.mirandasmith,Other regions,52,France,dynamic urban,High,short-term,Family,0.6000000000000001
5d4b05a3-1f02-4ff2-bd00-5c7c4755ad27,Male,dustinmcbride,Other regions,70,France,dynamic urban,High,short-term,Couple,0.1
75848816-08f4-4ba9-af7e-33025638a62f,Female,karenbrown,Normandie,43,France,disadvantaged urban,Low,short-term,Alone,0.4
42957c4e-3e92-45c8-a257-7d135b701001,Female,taylorswanson,Normandie,76,France,dynamic urban,High,short-term,Couple,0.9
ae17c708-b674-450b-8c89-c10ac6d77b83,Male,timothyesparza,Normandie,74,France,wealthy family suburbanite,High,short-term,Couple,0.8
75be359d-f618-4a76-80c4-85937bcae729,Male,matthewtran,Other regions,19,France,dynamic urban,High,short-term,Couple,0.8
238fdfb1-41a3-4647-a815-852b3fc9b5b6,Female,jennifercruz,Normandie,80,France,traditional rural,Low,short-term,Alone,0.9
d9e62a68-f5f2-43b1-9bc0-138183bca21d,Male,lucaslopez,Other regions,28,France,popularity,Low,short-term,Couple,0.6000000000000001
a7914d13-adf9-41e3-afc2-08c1d4aa2791,Female,tracyspence,Normandie,46,France,affluent family urban,High,short-term,Family,0.4
41d50b7e-49e8-4ee4-abb0-93dde8bc99b6,Female,cherylsanders,Normandie,52,France,urban middle class,Average,short-term,Couple,0.8
fb93503e-1b4e-412b-82f3-008a642541f5,Female,triciagreer,Other regions,70,France,popularity,Low,short-term,Family,0.1
6f132472-24c8-492c-a810-3b867b97342a,Male,christophermills,Other regions,29,France,dynamic urban,High,short-term,Family,0.2
0d704f89-115b-4b31-9c11-43be6e4ab18f,Male,jorgewilliams,Normandie,16,France,wealthy family suburbanite,High,short-term,Alone,0.5
ec4bec81-5471-4a3d-89d0-a53dc6f2388b,Female,melissawong,Normandie,38,France,growing peri-urban,Average,short-term,Alone,0.4
32134831-4188-4faf-bf9c-ae91e3994352,Female,jenniferestes,Other regions,17,France,disadvantaged urban,Low,long-term,Family,0.4
8511bb97-e763-4b34-8648-0ebbdb07acc6,Female,teresamurphy,Foreigner,29,Western Europe,traditional rural,Low,long-term,Couple,0.2
8b65a28e-57ba-48a7-bd98-a5e74f4521ed,Male,michaelharding,Normandie,79,France,dynamic urban,Average,short-term,Family,0.2
ffdfa1cb-9202-453b-85ea-772ab7c48e3e,Female,sarahhudson,Foreigner,51,Scandinavia,growing peri-urban,Average,short-term,Group,0.5
96c09416-e2d6-4d99-8b68-f50a1110b26d,Female,ms.jenniferpearson,Normandie,77,France,growing peri-urban,Average,short-term,Family,0.6000000000000001
bd456ebc-0bb1-4900-8eb4-5abc200384b9,Female,alexandracastro,Other regions,35,France,popularity,Low,short-term,Couple,0.30000000000000004
4346bd91-4e55-4db4-acc1-e361edfaa446,Male,matthewchen,Normandie,75,France,dynamic urban,High,long-term,Family,0.1
7a101ab7-26e3-436a-a7c9-0eccf592d027,Male,robertmathews,Foreigner,31,Western Europe,growing peri-urban,High,short-term,Alone,0.6000000000000001
872b7134-2370-4fac-b16d-339ddde2c582,Female,catherinemontgomery,Foreigner,71,Western Europe,wealthy family suburbanite,High,short-term,Couple,0.30000000000000004
7ab087ce-00a0-4885-b8a9-1dd58e501ce3,Male,benjaminjordan,Other regions,34,France,dynamic urban,High,short-term,Couple,0.9
7383e3e2-c49c-4562-b064-4eb39ec50132,Male,anthonylee,Foreigner,17,Germany,dynamic rural,Average,short-term,Couple,0.2
9b737116-8f49-4b6f-8276-477e67ee2641,Female,dawnnguyen,Other regions,16,France,dynamic rural,Average,short-term,Couple,0.6000000000000001
da69152e-488b-457b-90d9-836020a724a3,Male,craigdavis,Normandie,48,France,wealthy family suburbanite,High,short-term,Alone,0.5
9997f2bd-e790-413f-85d3-c2a981afbda7,Female,heathermarquez,Other regions,53,France,growing peri-urban,Average,short-term,Couple,0.4
c9f336c1-2507-490b-bb43-c8ea67bc3daf,Female,tarawelch,Other regions,24,France,growing peri-urban,Average,long-term,Alone,0.30000000000000004
ce127f4e-455d-4a01-bcfe-c5612f0d9e23,Male,andrewrodriguez,Other regions,75,France,popularity,Low,short-term,Group,0.4
5f6853e7-2d39-49db-9da2-69882fb41095,Male,josepharellano,Normandie,52,France,growing peri-urban,Average,long-term,Alone,0.30000000000000004
aadaa2b6-6bb0-484d-ac86-56992448e7f8,Female,sonyafrazier,Other regions,33,France,growing peri-urban,Average,short-term,Couple,0.1
d1f97d21-4d2c-4481-8e85-b1c17314539e,Male,bradpayne,Other regions,63,France,rural worker,Low,short-term,Couple,0.4
49a356bf-ef20-421c-a538-a1f0f98c6944,Female,heatherhall,Normandie,37,France,popularity,Low,long-term,Couple,0.2
982e4348-20b4-4be5-8710-f2f5aa517591,Female,racheldavenport,Foreigner,28,USA,dynamic urban,High,short-term,Couple,0.6000000000000001
6b95a09a-2160-4f9d-8321-34439c0c3e40,Male,danielperez,Normandie,33,France,wealthy family suburbanite,High,short-term,Couple,0.1
f5008c2c-5675-47ea-bc36-86a8ae161c8d,Female,jilldennis,Normandie,14,France,popularity,Low,short-term,Family,0.4
1933bb84-e96d-4fbe-b195-7baf727169da,Female,isabelbrooks,Other regions,23,France,dynamic urban,Average,short-term,Alone,0.9
85c84072-a274-442e-8868-74689b8bc48a,Female,allisonsmith,Foreigner,34,Eastern Europe,popularity,Low,short-term,Couple,0.4
ae096541-711b-4c8e-adcd-aefa7ba4adaf,Male,aaronpadilla,Normandie,42,France,urban middle class,Average,short-term,Couple,0.7000000000000001
146c2a78-2154-494b-8b6c-c1ca8c6b3a42,Male,jamesmahoney,Other regions,30,France,dynamic rural,Average,long-term,Alone,0.4
3ed0dbfa-30c2-48d0-914d-d0c78dc57f28,Female,mercedesjohnson,Other regions,30,France,rural worker,Low,short-term,Family,0.7000000000000001
5de757c3-8a63-41c1-8569-3bfe002b65bc,Male,jeffpeterson,Normandie,15,France,urban middle class,Average,short-term,Alone,0.4
f9e08c7f-9836-4ce9-b337-d204e409063c,Female,mckenziebennett,Normandie,52,France,popularity,Low,long-term,Couple,0.7000000000000001
00e8a9f8-32d8-4ac3-a54e-b3b0fb6245b8,Male,evanbrown,Normandie,15,France,wealthy family suburbanite,Average,long-term,Family,0.5
0859923b-d0da-4733-bca5-1afae475f8ad,Male,kevinrivera,Other regions,31,France,popularity,Low,short-term,Family,0.9
fe3fc154-9854-476f-9821-c45b47f423ab,Male,anthonyorozco,Other regions,14,France,disadvantaged urban,Low,short-term,Family,0.8
b2afc299-f704-4aad-a0ea-341127613f60,Female,christinasimpsondds,Normandie,62,France,urban middle class,Average,short-term,Group,0.8
75c45f98-cbf3-4c34-acab-d356a8187ae9,Female,teresanelson,Normandie,39,France,growing peri-urban,Average,short-term,Alone,0.1
ed72cecc-5063-4ad6-9f1e-9fedc5a01813,Male,aaroncallahan,Foreigner,48,USA,wealthy family suburbanite,High,short-term,Alone,0.7000000000000001
5a54d380-d158-44b4-b2ea-839cf8d9d959,Female,barbaralarsen,Other regions,23,France,dynamic rural,Average,short-term,Couple,0.7000000000000001
716e8ae7-576d-4ee5-a7c2-6da8dfcce8cc,Male,trevormartin,Normandie,58,France,growing peri-urban,Average,short-term,Family,0.1
71024198-a9b3-45c5-8755-8206fd4d7c4f,Male,alexanderramirez,Other regions,49,France,dynamic urban,High,short-term,Couple,0.9
1a541e44-4b01-4dbb-aaed-23d008ce351c,Female,crystalanderson,Normandie,17,France,dynamic rural,Average,long-term,Alone,0.2
54a1869b-b0e5-4260-b7c0-8b0dcc965447,Male,jasonmiller,Foreigner,56,Western Europe,dynamic urban,High,long-term,Couple,0.6000000000000001
ae0107c3-95b1-4284-a08b-6ddc19d2073a,Female,jessicaanderson,Foreigner,65,Western Europe,growing peri-urban,Average,short-term,Alone,0.5
29ed4f79-8296-4ede-80f4-6fa67fe850a6,Male,willieturner,Normandie,23,France,dynamic urban,High,long-term,Alone,0.30000000000000004
c8c09f42-8998-47ae-a80c-12d4f3a18dbc,Female,juliawilliams,Other regions,37,France,wealthy family suburbanite,High,short-term,Alone,0.4
b92fe2ff-82d3-439a-ad87-d365b6474fe3,Male,derrickwoods,Foreigner,41,Western Europe,popularity,Low,short-term,Family,0.8
3aed6fc7-d065-48e3-9306-ec548d7fca8f,Female,dianezuniga,Other regions,16,France,affluent family urban,High,short-term,Alone,0.9
b5ca9994-e318-4f38-bd19-691a372ee01d,Male,michaelwebster,Foreigner,16,Asia,rural worker,Low,short-term,Alone,0.6000000000000001
47a57f6b-6cfe-4d35-a280-1fac038000ab,Female,shellybrown,Other regions,16,France,affluent family urban,High,short-term,Couple,0.2
dbc660fe-deeb-490b-8a7b-5e229b7cc13b,Male,jamesevans,Foreigner,28,Belgium,dynamic urban,High,short-term,Alone,0.8
944dab7c-5ec7-4b1a-8251-aef15683bdd4,Female,erinwilliams,Other regions,40,France,dynamic urban,High,long-term,Family,0.30000000000000004
88cda479-f0ee-4914-b5f9-2ec8322ee183,Female,jennifersosa,Other regions,52,France,dynamic urban,Average,short-term,Couple,0.5
3cd474bd-4d5c-4954-931c-c1555fdf3544,Male,josephchen,Normandie,54,France,popularity,Low,short-term,Couple,0.5
6d08edb1-3b72-40ce-b375-bd52dfe5d87d,Male,christopherwoods,Normandie,36,France,growing peri-urban,Average,short-term,Family,0.6000000000000001
74e7cddd-29c4-4284-b7a3-917b6b693f5c,Male,colinbaker,Normandie,14,France,traditional rural,Low,short-term,Couple,0.30000000000000004
63e7cfef-2098-4447-a2da-f4009ead2bdc,Male,josemartin,Other regions,15,France,dynamic urban,High,short-term,Family,0.4
5e50037c-19c9-4507-b5d5-2e64d8d54f85,Male,williamward,Other regions,25,France,popularity,Low,short-term,Couple,0.4
0fa08229-903d-41c9-8c25-895cb36546b8,Male,timothyfrench,Foreigner,14,Western Europe,disadvantaged urban,Low,short-term,Alone,0.5
a51777b5-616e-43bc-ae58-9f3326001827,Male,jeremiahparker,Other regions,32,France,urban middle class,Low,short-term,Alone,0.30000000000000004
bb78df85-43df-4306-a04f-17eb32ad5402,Female,ritaburton,Foreigner,41,Western Europe,wealthy family suburbanite,Average,short-term,Alone,0.8
38c1bb80-fd7b-49e1-856e-eb5b2896abcb,Female,kimhill,Normandie,17,France,traditional rural,Low,short-term,Alone,0.8
315eaa8f-c984-4afc-bba4-e087ff8beb2c,Female,angelasmith,Normandie,17,France,popularity,Low,short-term,Alone,0.6000000000000001
284fff48-2404-4d10-b40e-9a15eefc805e,Female,alexisrosales,Foreigner,41,USA,rural worker,Low,short-term,Family,0.30000000000000004
a7af41bd-8182-4297-bf08-94813cd91eb8,Female,marilynramsey,Normandie,77,France,traditional rural,Low,short-term,Family,0.6000000000000001
